ID,MU
nl_1_0100000,0.0
nl_2_0100000,0.0
nl_3_0100000,0.0
nl_4_0100000,0.0
nl_5_0100000,0.0
nl_6_0100000,0.0
nl_7_0100000,0.0
nl_8_0100000,0.0
nl_9_0100000,0.0
nl_10_0100000,0.0
nl_11_0100000,0.0
nl_12_0100000,0.0
nl_13_0100000,0.0
nl_14_0100000,0.03333333333333332
nl_15_0100000,0.0
nl_16_0100000,0.0
nl_17_0100000,0.0
nl_18_0100000,0.0
nl_19_0100000,0.0
nl_20_0100000,0.0
nl_21_0100000,0.32298850574712656
nl_22_0100000,0.0
nl_23_0100000,0.0
nl_24_0100000,0.0
nl_25_0100000,0.0
nl_26_0100000,0.0
nl_27_0100000,0.0
nl_28_0100000,0.0
nl_29_0100000,0.0
nl_30_0100000,0.0
es_1_0100000,0.0
es_2_0100000,0.0
es_3_0100000,0.0
es_4_0100000,0.0
es_5_0100000,0.0
es_6_0100000,0.0
es_7_0100000,0.0
es_8_0100000,0.0
es_9_0100000,0.0
es_10_0100000,0.0
es_11_0100000,0.0
es_12_0100000,0.0
es_13_0100000,0.0
es_14_0100000,0.0
es_15_0100000,0.0
es_16_0100000,0.2402298850574712
es_17_0100000,0.16551724137931037
es_18_0100000,0.0
es_19_0100000,0.0
es_20_0100000,0.0
es_21_0100000,0.0
es_22_0100000,0.0
es_23_0100000,0.0
es_24_0100000,0.0
de_1_0100000,0.0
de_2_0100000,0.0
de_3_0100000,0.13333333333333325
de_4_0100000,0.0
de_5_0100000,0.0
de_6_0100000,0.0
de_7_0100000,0.0
de_8_0100000,0.0
de_9_0100000,0.0
de_10_0100000,0.0
de_11_0100000,0.0
de_12_0100000,0.0
de_13_0100000,0.0
de_14_0100000,0.0
de_15_0100000,0.0
de_16_0100000,0.0
de_17_0100000,0.0
de_18_0100000,0.1195402298850575
de_19_0100000,0.0
de_20_0100000,0.0
de_21_0100000,0.0
de_22_0100000,0.20229885057471264
de_23_0100000,0.0
de_24_0100000,0.0
de_25_0100000,0.0
de_26_0100000,0.0
de_27_0100000,0.0
de_28_0100000,0.0
de_29_0100000,0.06436781609195402
de_30_0100000,0.0
de_31_0100000,0.0
de_32_0100000,0.0
de_33_0100000,0.0
de_34_0100000,0.0
de_35_0100000,0.0
de_36_0100000,0.0
de_37_0100000,0.0
de_38_0100000,0.0
pl_1_0100000,0.0
pl_2_0100000,0.0
pl_3_0100000,0.0
pl_4_0100000,0.0
pl_5_0100000,0.0
pl_6_0100000,0.11954022988505751
pl_7_0100000,0.0
pl_8_0100000,0.0
pl_9_0100000,0.0
pl_10_0100000,0.25402298850574706
pl_11_0100000,0.0
pl_12_0100000,0.0
pl_13_0100000,0.0
pl_14_0100000,0.0
pl_15_0100000,0.0
pl_16_0100000,0.0
pl_17_0100000,0.0
pl_18_0100000,2.3172413793103455
pl_19_0100000,0.0
pl_20_0100000,0.0
hu_1_0100000,0.0
hu_2_0100000,0.0
hu_3_0100000,0.0
hu_4_0100000,0.0
hu_5_0100000,0.0
hu_6_0100000,0.0
hu_7_0100000,0.0
hu_8_0100000,0.0
hu_9_0100000,0.0
hu_10_0100000,0.0
hu_11_0100000,0.0
hu_12_0100000,0.0
hu_13_0100000,0.0
hu_14_0100000,0.0
hu_15_0100000,0.0
hu_16_0100000,0.0
hu_17_0100000,0.0
hu_18_0100000,0.0
hu_19_0100000,0.0
hu_20_0100000,0.0
hu_21_0100000,0.0
hu_22_0100000,0.24022988505747128
hu_23_0100000,0.0
hu_24_0100000,0.0
hu_25_0100000,0.0
hu_28_0100000,0.03333333333333332
hu_29_0100000,0.0
hu_30_0100000,0.0
hu_31_0100000,0.0
hu_32_0100000,0.0
hu_33_0100000,0.0
hu_34_0100000,0.0
hu_36_0100000,0.0
hu_37_0100000,0.0
hu_38_0100000,0.0
hu_39_0100000,0.0
hu_40_0100000,0.0
ch_18_0100000,0.0
ch_19_0100000,0.0
ch_20_0100000,0.0
ch_21_0100000,0.0
ch_22_0100000,0.0
ch_23_0100000,0.0
ch_24_0100000,0.06436781609195402
ch_25_0100000,0.0
ch_26_0100000,0.0
ch_27_0100000,0.0
ch_28_0100000,0.0
ch_29_0100000,0.0
ch_30_0100000,0.0
ch_31_0100000,0.0
